score,n_gram,Ranking
-7.118286292245504,amy,42.0
-7.118286292245504,kind,42.0
-7.118286292245504,juicy,42.0
-7.118286292245504,unbelievable,42.0
-7.118286292245504,latina,42.0
-7.118286292245504,secret,42.0
-7.118286292245504,maggie,42.0
-7.118286292245504,yes,42.0
-7.118286292245504,woman,42.0
-7.118286292245504,warm,42.0
-7.118286292245504,ur,42.0
-7.118286292245504,truly,42.0
-7.118286292245504,thick,42.0
-7.118286292245504,taiwan,42.0
-7.118286292245504,suppose,42.0
-7.118286292245504,year,42.0
-7.118286292245504,santa,42.0
-7.118286292245504,option,42.0
-7.118286292245504,rose,42.0
-7.118286292245504,much,42.0
-7.118286292245504,near,42.0
-7.118286292245504,naughty,42.0
-7.118286292245504,party,42.0
-7.118286292245504,photos,42.0
-7.118286292245504,recent,42.0
-7.300607849039458,dublin,43.0
-7.300607849039458,duo,43.0
-7.300607849039458,easy,43.0
-7.300607849039458,ebony,43.0
-7.300607849039458,enforcement,43.0
-7.300607849039458,even,43.0
-7.300607849039458,extra,43.0
-7.300607849039458,find,43.0
-7.300607849039458,girlfriend,43.0
-7.300607849039458,french,43.0
-7.300607849039458,friends,43.0
-7.300607849039458,funny,43.0
-7.300607849039458,goddess,43.0
-7.300607849039458,hands,43.0
-7.300607849039458,hhoutcall,43.0
-7.300607849039458,hour,43.0
-7.300607849039458,deserve,43.0
-7.300607849039458,disappointed,43.0
-7.300607849039458,booty,43.0
-7.300607849039458,cute,43.0
-7.300607849039458,coming,43.0
-7.300607849039458,impress,43.0
-7.300607849039458,african,43.0
-7.300607849039458,age,43.0
-7.300607849039458,almost,43.0
-7.300607849039458,angela,43.0
-7.300607849039458,apple,43.0
-7.300607849039458,appointment,43.0
-7.300607849039458,bay,43.0
-7.300607849039458,callers,43.0
-7.300607849039458,candy,43.0
-7.300607849039458,cater,43.0
-7.300607849039458,cator,43.0
-7.300607849039458,charming,43.0
-7.300607849039458,clara,43.0
-7.300607849039458,classy,43.0
-7.300607849039458,ice,43.0
-7.300607849039458,satisfying,43.0
-7.300607849039458,jojo,43.0
-7.300607849039458,rest,43.0
-7.300607849039458,short,43.0
-7.300607849039458,show,43.0
-7.300607849039458,smart,43.0
-7.300607849039458,soon,43.0
-7.300607849039458,st,43.0
-7.300607849039458,starting,43.0
-7.300607849039458,style,43.0
-7.300607849039458,sweetheart,43.0
-7.300607849039458,top,43.0
-7.300607849039458,total,43.0
-7.300607849039458,txt,43.0
-7.300607849039458,vivi,43.0
-7.300607849039458,wild,43.0
-7.300607849039458,yi,43.0
-7.300607849039458,kate,43.0
-7.300607849039458,seductive,43.0
-7.300607849039458,talk,43.0
-7.300607849039458,relaxation,43.0
-7.300607849039458,needs,43.0
-7.300607849039458,knows,43.0
-7.300607849039458,law,43.0
-7.300607849039458,leave,43.0
-7.300607849039458,lips,43.0
-7.300607849039458,messages,43.0
-7.300607849039458,mobile,43.0
-7.300607849039458,native,43.0
-7.300607849039458,mature,43.0
-7.300607849039458,next,43.0
-7.300607849039458,ot,43.0
-7.300607849039458,outgoing,43.0
-7.300607849039458,passionate,43.0
-7.300607849039458,playmate,43.0
-7.300607849039458,professional,43.0
-7.300607849039458,rates,43.0
-7.523751400353667,fake,44.0
-7.523751400353667,figure,44.0
-7.523751400353667,feeling,44.0
-7.523751400353667,favorite,44.0
-7.523751400353667,everyday,44.0
-7.523751400353667,extremely,44.0
-7.523751400353667,explicit,44.0
-7.523751400353667,door,44.0
-7.523751400353667,earth,44.0
-7.523751400353667,gorgeous,44.0
-7.523751400353667,goal,44.0
-7.523751400353667,jay,44.0
-7.523751400353667,help,44.0
-7.523751400353667,hill,44.0
-7.523751400353667,hottie,44.0
-7.523751400353667,independently,44.0
-7.523751400353667,indulge,44.0
-7.523751400353667,ing,44.0
-7.523751400353667,jackie,44.0
-7.523751400353667,may,44.0
-7.523751400353667,lets,44.0
-7.523751400353667,look,44.0
-7.523751400353667,looks,44.0
-7.523751400353667,dirty,44.0
-7.523751400353667,disappoint,44.0
-7.523751400353667,bbw,44.0
-7.523751400353667,deal,44.0
-7.523751400353667,date,44.0
-7.523751400353667,aim,44.0
-7.523751400353667,american,44.0
-7.523751400353667,anna,44.0
-7.523751400353667,appointments,44.0
-7.523751400353667,arrival,44.0
-7.523751400353667,ave,44.0
-7.523751400353667,babe,44.0
-7.523751400353667,bad,44.0
-7.523751400353667,milpitas,44.0
-7.523751400353667,better,44.0
-7.523751400353667,blue,44.0
-7.523751400353667,boobs,44.0
-7.523751400353667,boys,44.0
-7.523751400353667,breast,44.0
-7.523751400353667,breasts,44.0
-7.523751400353667,caress,44.0
-7.523751400353667,china,44.0
-7.523751400353667,completely,44.0
-7.523751400353667,concord,44.0
-7.523751400353667,cover,44.0
-7.523751400353667,crown,44.0
-7.523751400353667,daily,44.0
-7.523751400353667,dani,44.0
-7.523751400353667,menu,44.0
-7.523751400353667,cindy,44.0
-7.523751400353667,mina,44.0
-7.523751400353667,staff,44.0
-7.523751400353667,stands,44.0
-7.523751400353667,sure,44.0
-7.523751400353667,tina,44.0
-7.523751400353667,touch,44.0
-7.523751400353667,trinity,44.0
-7.523751400353667,true,44.0
-7.523751400353667,union,44.0
-7.523751400353667,use,44.0
-7.523751400353667,vip,44.0
-7.523751400353667,wait,44.0
-7.523751400353667,week,44.0
-7.523751400353667,well,44.0
-7.523751400353667,white,44.0
-7.523751400353667,willing,44.0
-7.523751400353667,without,44.0
-7.523751400353667,wont,44.0
-7.523751400353667,work,44.0
-7.523751400353667,works,44.0
-7.523751400353667,world,44.0
-7.523751400353667,yr,44.0
-7.523751400353667,yummy,44.0
-7.523751400353667,zero,44.0
-7.523751400353667,minute,44.0
-7.523751400353667,standing,44.0
-7.523751400353667,wanna,44.0
-7.523751400353667,spoil,44.0
-7.523751400353667,pls,44.0
-7.523751400353667,slender,44.0
-7.523751400353667,non,44.0
-7.523751400353667,numbers,44.0
-7.523751400353667,offered,44.0
-7.523751400353667,openminded,44.0
-7.523751400353667,package,44.0
-7.523751400353667,perky,44.0
-7.523751400353667,photo,44.0
-7.523751400353667,places,44.0
-7.523751400353667,pleasant,44.0
-7.523751400353667,pesonality,44.0
-7.523751400353667,promise,44.0
-7.523751400353667,say,44.0
-7.523751400353667,must,44.0
-7.523751400353667,silky,44.0
-7.523751400353667,shirley,44.0
-7.523751400353667,scene,44.0
-7.523751400353667,size,44.0
-7.523751400353667,satisfied,44.0
-7.523751400353667,rock,44.0
-7.523751400353667,release,44.0
-7.523751400353667,ramon,44.0
-7.811433472805448,francisco,45.0
-7.811433472805448,half,45.0
-7.811433472805448,grateness,45.0
-7.811433472805448,grand,45.0
-7.811433472805448,gold,45.0
-7.811433472805448,giving,45.0
-7.811433472805448,gigi,45.0
-7.811433472805448,full,45.0
-7.811433472805448,fulfill,45.0
-7.811433472805448,ful,45.0
-7.811433472805448,ft,45.0
-7.811433472805448,ds,45.0
-7.811433472805448,foster,45.0
-7.811433472805448,fit,45.0
-7.811433472805448,fire,45.0
-7.811433472805448,fill,45.0
-7.811433472805448,fetishes,45.0
-7.811433472805448,feet,45.0
-7.811433472805448,fantacy,45.0
-7.811433472805448,exciting,45.0
-7.811433472805448,exceptional,45.0
-7.811433472805448,eva,45.0
-7.811433472805448,escape,45.0
-7.811433472805448,hips,45.0
-7.811433472805448,height,45.0
-7.811433472805448,little,45.0
-7.811433472805448,honey,45.0
-7.811433472805448,juliana,45.0
-7.811433472805448,longing,45.0
-7.811433472805448,dreams,45.0
-7.811433472805448,lisa,45.0
-7.811433472805448,linlin,45.0
-7.811433472805448,late,45.0
-7.811433472805448,korea,45.0
-7.811433472805448,knockout,45.0
-7.811433472805448,kisses,45.0
-7.811433472805448,kissable,45.0
-7.811433472805448,katya,45.0
-7.811433472805448,kathie,45.0
-7.811433472805448,jessie,45.0
-7.811433472805448,hott,45.0
-7.811433472805448,jeniffer,45.0
-7.811433472805448,jazmine,45.0
-7.811433472805448,italian,45.0
-7.811433472805448,interactive,45.0
-7.811433472805448,inquiries,45.0
-7.811433472805448,impossible,45.0
-7.811433472805448,id,45.0
-7.811433472805448,hygiene,45.0
-7.811433472805448,hrs,45.0
-7.811433472805448,hours,45.0
-7.811433472805448,hotties,45.0
-7.811433472805448,dressed,45.0
-7.811433472805448,choice,45.0
-7.811433472805448,downtown,45.0
-7.811433472805448,chance,45.0
-7.811433472805448,california,45.0
-7.811433472805448,bubbly,45.0
-7.811433472805448,brunette,45.0
-7.811433472805448,bring,45.0
-7.811433472805448,book,45.0
-7.811433472805448,boobies,45.0
-7.811433472805448,blocking,45.0
-7.811433472805448,believe,45.0
-7.811433472805448,bed,45.0
-7.811433472805448,bb,45.0
-7.811433472805448,barbie,45.0
-7.811433472805448,asia,45.0
-7.811433472805448,asap,45.0
-7.811433472805448,asain,45.0
-7.811433472805448,arrivals,45.0
-7.811433472805448,anber,45.0
-7.811433472805448,along,45.0
-7.811433472805448,ads,45.0
-7.811433472805448,adore,45.0
-7.811433472805448,addictive,45.0
-7.811433472805448,addicting,45.0
-7.811433472805448,ad,45.0
-7.811433472805448,lots,45.0
-7.811433472805448,calling,45.0
-7.811433472805448,check,45.0
-7.811433472805448,doll,45.0
-7.811433472805448,chic,45.0
-7.811433472805448,disappointments,45.0
-7.811433472805448,dinner,45.0
-7.811433472805448,devoted,45.0
-7.811433472805448,delicious,45.0
-7.811433472805448,degree,45.0
-7.811433472805448,dangerous,45.0
-7.811433472805448,dancer,45.0
-7.811433472805448,curve,45.0
-7.811433472805448,cup,45.0
-7.811433472805448,cuddle,45.0
-7.811433472805448,creek,45.0
-7.811433472805448,crazy,45.0
-7.811433472805448,crave,45.0
-7.811433472805448,cooperation,45.0
-7.811433472805448,contented,45.0
-7.811433472805448,complete,45.0
-7.811433472805448,comfortable,45.0
-7.811433472805448,comfort,45.0
-7.811433472805448,com,45.0
-7.811433472805448,colorful,45.0
-7.811433472805448,college,45.0
-7.811433472805448,cici,45.0
-7.811433472805448,chloe,45.0
-7.811433472805448,lot,45.0
-7.811433472805448,pounds,45.0
-7.811433472805448,loves,45.0
-7.811433472805448,striking,45.0
-7.811433472805448,til,45.0
-7.811433472805448,three,45.0
-7.811433472805448,think,45.0
-7.811433472805448,things,45.0
-7.811433472805448,texts,45.0
-7.811433472805448,tender,45.0
-7.811433472805448,tel,45.0
-7.811433472805448,tall,45.0
-7.811433472805448,sweetness,45.0
-7.811433472805448,sweetie,45.0
-7.811433472805448,surprise,45.0
-7.811433472805448,still,45.0
-7.811433472805448,send,45.0
-7.811433472805448,stay,45.0
-7.811433472805448,spent,45.0
-7.811433472805448,spending,45.0
-7.811433472805448,soul,45.0
-7.811433472805448,skill,45.0
-7.811433472805448,single,45.0
-7.811433472805448,simple,45.0
-7.811433472805448,shanghai,45.0
-7.811433472805448,session,45.0
-7.811433472805448,serve,45.0
-7.811433472805448,ser,45.0
-7.811433472805448,tiny,45.0
-7.811433472805448,tired,45.0
-7.811433472805448,tits,45.0
-7.811433472805448,totally,45.0
-7.811433472805448,lucy,45.0
-7.811433472805448,ʝєωєℓ,45.0
-7.811433472805448,yuki,45.0
-7.811433472805448,yomi,45.0
-7.811433472805448,yaya,45.0
-7.811433472805448,worth,45.0
-7.811433472805448,wonderful,45.0
-7.811433472805448,winnie,45.0
-7.811433472805448,wendy,45.0
-7.811433472805448,ways,45.0
-7.811433472805448,way,45.0
-7.811433472805448,wat,45.0
-7.811433472805448,wants,45.0
-7.811433472805448,walnut,45.0
-7.811433472805448,waists,45.0
-7.811433472805448,waist,45.0
-7.811433472805448,vivian,45.0
-7.811433472805448,visiting,45.0
-7.811433472805448,victoria,45.0
-7.811433472805448,unique,45.0
-7.811433472805448,un,45.0
-7.811433472805448,trustworthy,45.0
-7.811433472805448,treatment,45.0
-7.811433472805448,senses,45.0
-7.811433472805448,waste,45.0
-7.811433472805448,selena,45.0
-7.811433472805448,nora,45.0
-7.811433472805448,newark,45.0
-7.811433472805448,nancy,45.0
-7.811433472805448,nana,45.0
-7.811433472805448,mutually,45.0
-7.811433472805448,mouth,45.0
-7.811433472805448,morgan,45.0
-7.811433472805448,montana,45.0
-7.811433472805448,monica,45.0
-7.811433472805448,moments,45.0
-7.811433472805448,model,45.0
-7.811433472805448,mix,45.0
-7.811433472805448,missing,45.0
-7.811433472805448,miso,45.0
-7.811433472805448,minutes,45.0
-7.811433472805448,mimi,45.0
-7.811433472805448,miki,45.0
-7.811433472805448,measurement,45.0
-7.811433472805448,malaysia,45.0
-7.811433472805448,makes,45.0
-7.811433472805448,magic,45.0
-7.811433472805448,luscious,45.0
-7.811433472805448,satisfy,45.0
-7.811433472805448,luminous,45.0
-7.811433472805448,nite,45.0
-7.811433472805448,menus,45.0
-7.811433472805448,number,45.0
-7.811433472805448,pleasures,45.0
-7.811433472805448,room,45.0
-7.811433472805448,offering,45.0
-7.811433472805448,roses,45.0
-7.811433472805448,regret,45.0
-7.811433472805448,reality,45.0
-7.811433472805448,quick,45.0
-7.811433472805448,put,45.0
-7.811433472805448,provider,45.0
-7.811433472805448,pressure,45.0
-7.811433472805448,poster,45.0
-7.811433472805448,qkspecialoutcall,45.0
-7.811433472805448,passion,45.0
-7.811433472805448,people,45.0
-7.811433472805448,outcalls,45.0
-7.811433472805448,place,45.0
-7.811433472805448,paris,45.0
-7.811433472805448,peiki,45.0
-7.811433472805448,operator,45.0
-7.811433472805448,person,45.0
-7.811433472805448,pick,45.0
-7.811433472805448,olivia,45.0
-7.811433472805448,picture,45.0
-8.216898580913613,roes,46.0
-8.216898580913613,rohnert,46.0
-8.216898580913613,run,46.0
-8.216898580913613,rooms,46.0
-8.216898580913613,rotation,46.0
-8.216898580913613,routine,46.0
-8.216898580913613,rub,46.0
-8.216898580913613,rude,46.0
-8.216898580913613,seduce,46.0
-8.216898580913613,sasa,46.0
-8.216898580913613,running,46.0
-8.216898580913613,saratoga,46.0
-8.216898580913613,sassy,46.0
-8.216898580913613,satisfing,46.0
-8.216898580913613,se,46.0
-8.216898580913613,rewarding,46.0
-8.216898580913613,search,46.0
-8.216898580913613,searching,46.0
-8.216898580913613,rite,46.0
-8.216898580913613,regular,46.0
-8.216898580913613,rewarded,46.0
-8.216898580913613,reasonable,46.0
-8.216898580913613,rate,46.0
-8.216898580913613,rafael,46.0
-8.216898580913613,seem,46.0
-8.216898580913613,rated,46.0
-8.216898580913613,rather,46.0
-8.216898580913613,read,46.0
-8.216898580913613,realest,46.0
-8.216898580913613,really,46.0
-8.216898580913613,redd,46.0
-8.216898580913613,restricted,46.0
-8.216898580913613,regulars,46.0
-8.216898580913613,reinvigorate,46.0
-8.216898580913613,relaxed,46.0
-8.216898580913613,relief,46.0
-8.216898580913613,relieve,46.0
-8.216898580913613,relive,46.0
-8.216898580913613,rendezvous,46.0
-8.216898580913613,repeat,46.0
-8.216898580913613,seeing,46.0
-8.216898580913613,skinny,46.0
-8.216898580913613,seen,46.0
-8.216898580913613,smoky,46.0
-8.216898580913613,slip,46.0
-8.216898580913613,slippery,46.0
-8.216898580913613,slow,46.0
-8.216898580913613,slowly,46.0
-8.216898580913613,small,46.0
-8.216898580913613,smell,46.0
-8.216898580913613,smiling,46.0
-8.216898580913613,smokkn,46.0
-8.216898580913613,smoothy,46.0
-8.216898580913613,sized,46.0
-8.216898580913613,sneak,46.0
-8.216898580913613,sofa,46.0
-8.216898580913613,sooo,46.0
-8.216898580913613,sophisticated,46.0
-8.216898580913613,sora,46.0
-8.216898580913613,spa,46.0
-8.216898580913613,quite,46.0
-8.216898580913613,spanish,46.0
-8.216898580913613,skilled,46.0
-8.216898580913613,sitter,46.0
-8.216898580913613,selective,46.0
-8.216898580913613,shaking,46.0
-8.216898580913613,sensitive,46.0
-8.216898580913613,set,46.0
-8.216898580913613,sexi,46.0
-8.216898580913613,sexii,46.0
-8.216898580913613,sexiness,46.0
-8.216898580913613,sexxxiest,46.0
-8.216898580913613,sexxy,46.0
-8.216898580913613,sf,46.0
-8.216898580913613,shape,46.0
-8.216898580913613,sit,46.0
-8.216898580913613,share,46.0
-8.216898580913613,shells,46.0
-8.216898580913613,shit,46.0
-8.216898580913613,shy,46.0
-8.216898580913613,simply,46.0
-8.216898580913613,sincere,46.0
-8.216898580913613,sinfully,46.0
-8.216898580913613,sisters,46.0
-8.216898580913613,qυαℓιτγ,46.0
-8.216898580913613,occasion,46.0
-8.216898580913613,queen,46.0
-8.216898580913613,nru,46.0
-8.216898580913613,newest,46.0
-8.216898580913613,ng,46.0
-8.216898580913613,ninethree,46.0
-8.216898580913613,none,46.0
-8.216898580913613,notch,46.0
-8.216898580913613,nothing,46.0
-8.216898580913613,nough,46.0
-8.216898580913613,nowwww,46.0
-8.216898580913613,ntlemen,46.0
-8.216898580913613,nd,46.0
-8.216898580913613,nude,46.0
-8.216898580913613,speak,46.0
-8.216898580913613,oil,46.0
-8.216898580913613,om,46.0
-8.216898580913613,opening,46.0
-8.216898580913613,opportunity,46.0
-8.216898580913613,oriental,46.0
-8.216898580913613,oucall,46.0
-8.216898580913613,needed,46.0
-8.216898580913613,ncall,46.0
-8.216898580913613,qqs,46.0
-8.216898580913613,mon,46.0
-8.216898580913613,matter,46.0
-8.216898580913613,maybe,46.0
-8.216898580913613,meant,46.0
-8.216898580913613,measures,46.0
-8.216898580913613,meeting,46.0
-8.216898580913613,mexican,46.0
-8.216898580913613,minimum,46.0
-8.216898580913613,miya,46.0
-8.216898580913613,montague,46.0
-8.216898580913613,naturally,46.0
-8.216898580913613,mood,46.0
-8.216898580913613,muscle,46.0
-8.216898580913613,muse,46.0
-8.216898580913613,mutual,46.0
-8.216898580913613,myia,46.0
-8.216898580913613,napa,46.0
-8.216898580913613,nasty,46.0
-8.216898580913613,naturallllll,46.0
-8.216898580913613,overnight,46.0
-8.216898580913613,packages,46.0
-8.216898580913613,pain,46.0
-8.216898580913613,prepared,46.0
-8.216898580913613,pnds,46.0
-8.216898580913613,po,46.0
-8.216898580913613,polite,46.0
-8.216898580913613,pop,46.0
-8.216898580913613,porcelain,46.0
-8.216898580913613,power,46.0
-8.216898580913613,powers,46.0
-8.216898580913613,prefer,46.0
-8.216898580913613,prettiest,46.0
-8.216898580913613,pamper,46.0
-8.216898580913613,prices,46.0
-8.216898580913613,pride,46.0
-8.216898580913613,princess,46.0
-8.216898580913613,privacy,46.0
-8.216898580913613,prove,46.0
-8.216898580913613,public,46.0
-8.216898580913613,purebliss,46.0
-8.216898580913613,pursuit,46.0
-8.216898580913613,plz,46.0
-8.216898580913613,plus,46.0
-8.216898580913613,pleasing,46.0
-8.216898580913613,plastic,46.0
-8.216898580913613,pampered,46.0
-8.216898580913613,park,46.0
-8.216898580913613,parking,46.0
-8.216898580913613,parties,46.0
-8.216898580913613,patient,46.0
-8.216898580913613,pay,46.0
-8.216898580913613,peachy,46.0
-8.216898580913613,peacials,46.0
-8.216898580913613,pecialoo,46.0
-8.216898580913613,pecials,46.0
-8.216898580913613,peninsula,46.0
-8.216898580913613,percent,46.0
-8.216898580913613,petaluma,46.0
-8.216898580913613,physique,46.0
-8.216898580913613,piece,46.0
-8.216898580913613,pixs,46.0
-8.216898580913613,plane,46.0
-8.216898580913613,spankable,46.0
-8.216898580913613,themes,46.0
-8.216898580913613,specialty,46.0
-8.216898580913613,worry,46.0
-8.216898580913613,weight,46.0
-8.216898580913613,west,46.0
-8.216898580913613,whole,46.0
-8.216898580913613,whos,46.0
-8.216898580913613,wicked,46.0
-8.216898580913613,wise,46.0
-8.216898580913613,wish,46.0
-8.216898580913613,worlds,46.0
-8.216898580913613,worship,46.0
-8.216898580913613,weeks,46.0
-8.216898580913613,would,46.0
-8.216898580913613,wow,46.0
-8.216898580913613,wrapped,46.0
-8.216898580913613,xok,46.0
-8.216898580913613,xoxo,46.0
-8.216898580913613,xplicit,46.0
-8.216898580913613,yers,46.0
-8.216898580913613,yo,46.0
-8.216898580913613,weigh,46.0
-8.216898580913613,wechat,46.0
-8.216898580913613,spend,46.0
-8.216898580913613,visits,46.0
-8.216898580913613,vacaville,46.0
-8.216898580913613,vallejo,46.0
-8.216898580913613,valley,46.0
-8.216898580913613,verification,46.0
-8.216898580913613,veronika,46.0
-8.216898580913613,video,46.0
-8.216898580913613,viet,46.0
-8.216898580913613,view,46.0
-8.216898580913613,visual,46.0
-8.216898580913613,watcher,46.0
-8.216898580913613,vixen,46.0
-8.216898580913613,vsiting,46.0
-8.216898580913613,vulgar,46.0
-8.216898580913613,wa,46.0
-8.216898580913613,waisting,46.0
