,Title,Studio,LifetimeGross,LifetimeTheaters,OpeningGross,OpeningTheaters,ReleaseYear
251,Lone Survivor,Uni.,"$125,095,601","3,285","$90,872",2,12/25/2013
252,The Wolf of Wall Street,Par.,"$116,900,694","2,557","$18,361,578","2,537",12/25/2013
253,The Secret Life of Walter Mitty,Fox,"$58,236,838","2,922","$12,765,508","2,909",12/25/2013
254,The Selfish Giant,IFC,"$12,189",6,"$2,589",3,12/20/2013
255,Anchorman 2: The Legend Continues,Par.,"$127,352,707","3,507","$26,232,425","3,507",multiple
256,Saving Mr. Banks,BV,"$83,301,580","2,671","$413,373",15,12/13/2013
257,Twice Born,EOne,"$18,295",10,"$14,947",10,12/6/2013
258,Inside Llewyn Davis,CBS,"$13,235,319",729,"$405,411",4,12/6/2013
259,Oldboy (2013),FD,"$2,193,658",583,"$885,382",583,11/27/2013
260,Cousin Jules,CGld,"$29,337",3,"$5,135",1,11/29/2013
261,Nebraska,Par.,"$17,654,912",968,"$140,401",4,11/15/2013
262,Faust,Leis.,"$58,132",6,"$10,030",2,11/15/2013
263,Last Vegas,CBS,"$63,914,167","3,237","$16,334,566","3,065",11/1/2013
264,Dallas Buyers Club,Focus,"$27,298,285","1,110","$260,865",9,11/1/2013
265,About Time,Uni.,"$15,322,921","1,280","$1,076,250",175,11/1/2013
266,SpongeBob SquarePants 3,Par.,n/a,n/a,n/a,n/a,2/8/2019
267,All Is Lost,RAtt.,"$6,263,670",483,"$93,583",6,10/18/2013
268,The Fifth Estate,BV,"$3,255,008","1,769","$1,673,351","1,769",10/18/2013
269,Kill Your Darlings,SPC,"$1,030,064",78,"$53,452",4,10/16/2013
270,As I Lay Dying,MNE,"$16,697",2,"$7,143",1,10/11/2013
271,CBGB,XL,"$40,400",100,"$3,909",1,10/4/2013
272,Escape from Tomorrow,PDA,"$171,962",30,"$63,297",30,10/11/2013
273,Runner Runner,Fox,"$19,316,646","3,026","$7,706,712","3,026",10/4/2013
274,Born to Fly: Elizabeth Streb vs. Gravity,TFC,"$24,630",3,"$8,406",1,9/10/2014
275,Metallica Through the Never,PH,"$3,419,967",589,"$1,576,561",305,9/27/2013
276,Shepard and Dark,MBox,"$10,278",3,"$1,226",1,9/25/2013
277,After Tiller,Osci.,"$72,125",6,"$15,500",2,9/20/2013
278,Prisoners,WB,"$61,002,302","3,290","$20,817,053","3,260",9/20/2013
279,Enough Said,FoxS,"$17,550,872",835,"$232,800",4,9/18/2013
280,Blue Caprice,IFC,"$93,995",36,"$13,400",1,9/13/2013
281,Wadjda (U.S. only),SPC,"$1,347,747",87,"$41,253",3,9/13/2013
282,Mother of George,Osci.,"$157,937",8,"$22,500",1,9/13/2013
283,Adore,EXCL,"$318,982",57,"$119,806",57,9/6/2013
284,Salinger,Wein.,"$583,633",138,"$86,956",4,9/6/2013
285,United Passions,Scre.,$607,10,$607,10,6/5/2015
286,Drinking Buddies,Magn.,"$343,341",33,"$19,505",2,8/23/2013
287,The World's End,Focus,"$26,004,851","1,553","$8,811,790","1,551",8/23/2013
288,Cutie and the Boxer,RTWC,"$200,036",16,"$21,098",3,8/16/2013
289,Ain't Them Bodies Saints,IFC,"$396,519",44,"$26,419",3,8/16/2013
290,Lee Daniels' The Butler,Wein.,"$116,632,095","3,330","$24,637,312","2,933",8/16/2013
291,Prince Avalanche,Magn.,"$205,139",23,"$36,694",14,8/9/2013
292,We're the Millers,WB (NL),"$150,394,119","3,445","$26,419,396","3,260",8/7/2013
293,Untitled Wolverine,Fox,n/a,n/a,n/a,n/a,3/3/2017
294,Act of Killing,Drft.,"$486,919",29,"$27,450",1,7/19/2013
295,Computer Chess,KL,"$102,041",9,"$9,683",2,7/17/2013
296,Turbo Kid,EpicPics,"$67,132",31,"$31,428",26,8/28/2015
297,Viola,CGld,"$21,818",2,"$6,109",1,7/12/2013
298,Fruitvale Station,Wein.,"$16,101,339","1,086","$386,291",7,7/12/2013
299,Pacific Rim 2,Uni.,n/a,n/a,n/a,n/a,2/23/2018
300,"The Way, Way Back",FoxS,"$21,506,546","1,001","$552,788",19,7/5/2013
301,The Lone Ranger,BV,"$89,302,115","3,904","$29,210,849","3,904",7/3/2013
302,Museum Hours,CGld,"$561,457",19,"$29,400",2,6/28/2013
303,The Heat,Fox,"$159,582,188","3,184","$39,115,043","3,181",6/28/2013
304,A Hijacking,Magn.,"$414,437",32,"$39,392",7,6/21/2013
305,World War Z 2,Par.,n/a,n/a,n/a,n/a,6/9/2017
306,The Bling Ring,A24,"$5,845,732",650,"$214,395",5,6/14/2013
307,20 Feet from Stardom,RTWC,"$4,946,445",147,"$54,596",3,6/14/2013
308,This is the End,Sony,"$101,470,202","3,055","$20,719,162","3,055",6/12/2013
309,Violet & Daisy,Cdgm.,"$17,186",17,"$9,982",17,6/7/2013
