,Title,Studio,LifetimeGross,LifetimeTheaters,OpeningGross,OpeningTheaters,ReleaseYear
494,Sarah Palin - You Betcha!,Free,"$10,935",6,"$6,911",6,9/30/2011
495,Margaret,FoxS,"$46,495",14,"$7,525",2,9/30/2011
496,Take Shelter,SPC,"$1,730,296",91,"$52,041",3,9/30/2011
497,Red State,SMod,"$1,104,682",5,"$204,230",1,3/5/2011
498,Machine Gun Preacher,Rela.,"$538,690",93,"$45,130",4,9/23/2011
499,Last Weekend,IFC,"$27,053",8,"$2,661",1,8/29/2014
500,Arabian Nights: Volume 1 - The Restless One,KL,"$12,260",3,n/a,n/a,12/4/2015
501,Straw Dogs (2011),SGem,"$10,324,441","2,408","$5,123,760","2,408",9/16/2011
502,Baby Driver,Sony,n/a,n/a,n/a,n/a,3/17/2017
503,Bucky Larson: Born to Be a Star,Sony,"$2,529,395","1,500","$1,415,023","1,500",9/9/2011
504,Saturday's Warrior,Purd.,"$569,120",28,"$96,041",9,4/1/2016
505,Love Crime,IFC,"$539,792",29,"$35,375",5,9/2/2011
506,Detective Dee and the Mystery of the Phantom Flame,IM,"$459,836",48,"$52,617",3,9/2/2011
507,Gainsbourg: A Heroic Life,MBox,"$233,007",19,"$25,189",3,8/31/2011
508,The Debt,Focus,"$31,177,548","1,874","$9,909,499","1,826",8/31/2011
509,Our Idiot Brother,Wein.,"$24,816,118","2,555","$7,011,631","2,555",8/26/2011
510,Higher Ground,SPC,"$841,733",81,"$21,495",3,8/26/2011
511,Circumstance,RAtt.,"$454,121",31,"$43,318",7,8/26/2011
512,Fright Night (2011),BV,"$18,302,607","3,114","$7,714,388","3,114",8/19/2011
513,Amigo,Vari.,"$184,705",10,"$37,324",10,8/19/2011
514,"Two Days, One Night",IFC,"$1,436,243",120,"$30,700",2,12/24/2014
515,The Devil's Double,LGF,"$1,361,512",89,"$96,414",5,7/29/2011
516,Back to the Future Day,UHE,"$1,650,000","1,815",n/a,n/a,10/21/2015
517,The Myth of the American Sleepover,IFC,"$41,045",3,"$8,700",1,7/22/2011
518,Captain America: The First Avenger,Par.,"$176,654,505","3,715","$65,058,524","3,715",7/22/2011
519,Winnie the Pooh,BV,"$26,692,846","2,405","$7,857,076","2,405",7/15/2011
520,Salvation Boulevard,IFC,"$28,468",4,"$7,208",4,7/15/2011
521,Tabloid,IFC,"$696,921",37,"$91,201",14,7/15/2011
522,Romeo and Juliet (2013),Rela.,"$1,162,635",461,"$520,116",461,10/11/2013
523,Project Nim,RAtt.,"$411,184",22,"$25,820",4,7/8/2011
524,Horrible Bosses 2,WB,"$54,445,357","3,400","$15,457,418","3,375",11/26/2014
525,Lost in America,WB,"$10,179,000",315,"$154,877",6,3/15/1985
526,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,"$66,954,149","3,117","$18,360,230","3,088",10/10/2014
527,Transformers: Dark of the Moon,P/DW,"$352,390,543","4,088","$97,852,865","4,088",6/29/2011
528,Cars 2,BV,"$191,452,396","4,115","$66,135,507","4,115",6/24/2011
529,Passione,Abr.,"$255,355",5,"$15,377",1,6/22/2011
530,The Art of Getting By,FoxS,"$1,430,241",610,"$679,160",610,6/17/2011
531,Mr. Popper's Penguins,Fox,"$68,224,452","3,342","$18,445,355","3,339",6/17/2011
532,Super 8,Par.,"$127,004,179","3,424","$35,451,168","3,379",6/10/2011
533,Film Socialisme,Lorb.,"$32,977",3,"$4,526",1,6/3/2011
534,Submarine,Wein.,"$467,602",28,"$41,832",4,6/3/2011
535,The Tree of Life,FoxS,"$13,303,319",237,"$372,920",4,5/27/2011
536,Kung Fu Panda 2,P/DW,"$165,249,063","3,952","$47,656,302","3,925",5/26/2011
537,Withnail and I,Cinpx,"$1,544,889",n/a,n/a,n/a,1987
538,Lost Bohemia,Long Shot,"$23,584",2,n/a,n/a,5/20/2011
539,Pirates of the Caribbean: On Stranger Tides,BV,"$241,071,802","4,164","$90,151,958","4,155",5/20/2011
540,Midnight in Paris,SPC,"$56,817,045","1,038","$599,003",6,5/20/2011
541,The First Grader,NGE,"$332,306",36,"$20,437",3,5/13/2011
542,Everything Must Go,RAtt.,"$2,711,643",245,"$791,676",218,5/13/2011
543,Jumping the Broom,TriS,"$37,295,394","2,035","$15,215,487","2,035",5/6/2011
544,Something Borrowed,WB,"$39,046,489","2,904","$13,945,368","2,904",5/6/2011
545,Thor: Ragnarok,BV,n/a,n/a,n/a,n/a,11/3/2017
546,Incendies (U.S. only),SPC,"$2,071,334",90,"$50,679",3,4/22/2011
547,Armadillo,Lorb.,"$14,566",1,"$3,958",1,4/15/2011
548,The Conspirator,RAtt.,"$11,538,204",849,"$3,506,602",707,4/15/2011
549,Meek's Cutoff,Osci.,"$977,772",45,"$20,024",2,4/8/2011
550,Arthur & Lancelot,WB,n/a,n/a,n/a,n/a,TBD
551,Blank City,IR,"$116,037",3,"$13,989",1,4/6/2011
552,Hillsong - Let Hope Rise,PFR,n/a,n/a,n/a,n/a,9/16/2016
553,In a Better World,SPC,"$1,008,098",51,"$33,058",4,4/1/2011
554,Potiche,MBox,"$1,618,844",74,"$86,017",7,3/25/2011
555,Miral,Wein.,"$373,420",29,"$66,244",4,3/25/2011
556,Sucker Punch,WB,"$36,392,502","3,033","$19,058,199","3,033",3/25/2011
557,Win Win,FoxS,"$10,179,275",388,"$150,362",5,3/18/2011
558,Limitless,Rela.,"$79,249,455","2,838","$18,907,302","2,756",3/18/2011
559,Jane Eyre,Focus,"$11,242,660",319,"$182,885",4,3/11/2011
560,Battle: Los Angeles,Sony,"$83,552,429","3,417","$35,573,187","3,417",3/11/2011
561,Warriors of the Rainbow: Seediq Bale,WGUSA,"$136,166",13,"$57,183",12,4/27/2012
562,Rango,Par.,"$123,477,607","3,923","$38,079,323","3,917",3/4/2011
563,Uncle Boonmee Who Can Recall His Past Lives,Strand,"$184,292",6,"$23,540",3,3/2/2011
564,Drive Angry,Sum.,"$10,721,033","2,290","$5,187,625","2,290",2/25/2011
565,Of Gods and Men,SPC,"$3,954,651",120,"$308,895",33,2/25/2011
566,Donnie Brasco,Sony,"$41,909,762","1,593","$11,660,216","1,503",2/28/1997
567,Just Go With It,Sony,"$103,028,109","3,548","$30,514,732","3,548",2/11/2011
568,The Eagle Huntress,SPC,n/a,n/a,n/a,n/a,9/16/2016
569,The Other Woman (2014),Fox,"$83,911,193","3,306","$24,763,752","3,205",4/25/2014
570,The Other Woman (2014),Fox,"$83,911,193","3,306","$24,763,752","3,205",4/25/2014
571,Into Eternity,ICir,"$55,366",6,"$3,530",1,2/2/2011
572,When We Leave (Die Fremde),Olive,"$19,631",2,"$6,018",2,1/28/2011
573,Kaboom,IFC,"$118,919",12,"$13,714",1,1/28/2011
574,The Housemaid,IFC,"$157,961",12,"$16,670",2,1/21/2011
575,No Strings Attached,Par.,"$70,662,220","3,050","$19,652,921","3,018",1/21/2011
576,The Green Hornet,Sony,"$98,780,042","3,584","$33,526,876","3,584",1/14/2011
577,The Dilemma,Uni.,"$48,475,290","2,943","$17,816,230","2,940",1/14/2011
578,East of Eden,WB,n/a,n/a,n/a,n/a,3/9/1955
579,The Time That Remains,IFC,"$32,869",2,"$6,453",1,1/7/2011
580,Biutiful,RAtt.,"$5,101,237",191,"$457,206",59,1/28/2011
581,Another Year,SPC,"$3,205,706",236,"$111,869",6,12/29/2010
582,The Strange Case of Angelica,CGld,"$50,135",2,"$7,499",1,12/29/2010
583,Blue Valentine,Wein.,"$9,706,328",450,"$193,728",4,12/29/2010
584,Waking Life,FoxS,"$2,901,447",93,"$88,977",4,10/19/2001
585,Gulliver's Travels,Fox,"$42,779,261","3,089","$6,307,691","2,546",12/25/2010
586,Somewhere Only We Know,CL,"$482,341",46,"$304,934",46,2/13/2015
587,Casino Jack,ATO,"$1,042,959",60,"$34,528",7,12/17/2010
588,Rabbit Hole,LGF,"$2,229,058",131,"$53,778",5,12/17/2010
589,The Tempest,Mira.,"$277,943",21,"$42,436",5,12/10/2010
590,And Everything is Going Fine,IFC,"$22,080",2,"$7,035",1,12/10/2010
591,The Fighter,Par.,"$93,617,009","2,534","$300,010",4,12/10/2010
592,Night Catches Us,Magn.,"$76,185",9,"$13,562",4,12/3/2010
593,Barney's Version (U.S. only),SPC,"$4,439,201",281,"$65,241",4,1/14/2011
594,Love and Other Drugs,Fox,"$32,367,005","2,458","$9,739,161","2,455",11/24/2010
595,Tangled,BV,"$200,821,936","3,603","$48,767,052","3,603",11/24/2010
596,The Next Three Days,LGF,"$21,148,651","2,564","$6,542,779","2,564",11/19/2010
597,Harry Potter and the Deathly Hallows Part 1,WB,"$295,983,305","4,125","$125,017,372","4,125",11/19/2010
598,Vote for Me (a.k.a. Please Vote for Me),IFC,n/a,n/a,n/a,n/a,N/A
599,Fair Game (2010),Sum.,"$9,540,691",436,"$651,082",46,11/5/2010
600,Four Lions,Drft.,"$304,616",18,"$41,512",8,11/5/2010
601,127 Hours,FoxS,"$18,335,230",916,"$264,851",4,11/5/2010
602,Inspector Bellamy,IFC,"$107,612",4,"$20,635",2,10/29/2010
603,Wild Target,Free,"$108,589",13,"$23,174",4,10/29/2010
604,The Kids Grow Up,Shad.,"$12,095",1,"$4,497",1,10/29/2010
605,Conviction,FoxS,"$6,783,129",672,"$102,351",11,10/15/2010
606,The Red Canvas,Free,n/a,n/a,n/a,n/a,TBD
607,Hereafter,WB,"$32,746,941","2,424","$220,322",6,10/15/2010
608,New in Town,LGF,"$16,734,283","1,941","$6,741,530","1,941",1/30/2009
609,Tamara Drewe,SPC,"$560,391",59,"$18,604",4,10/8/2010
610,It's Kind of a Funny Story,Focus,"$6,363,628",757,"$2,013,406",742,10/8/2010
611,Inside Job,SPC,"$4,312,735",250,"$39,649",2,10/8/2010
612,Judgment at Nuremberg,UA,n/a,n/a,n/a,n/a,12/19/1961
613,Douchebag,Pala.,"$20,615",6,"$2,966",1,10/1/2010
614,Let Me In,Over.,"$12,134,935","2,042","$5,147,479","2,020",10/1/2010
615,Fifi Howls From Happiness,MBox,"$13,614",2,"$2,728",1,8/8/2014
616,Wall Street: Money Never Sleeps,Fox,"$52,474,616","3,597","$19,011,188","3,565",9/24/2010
617,You Will Meet a Tall Dark Stranger,SPC,"$3,248,246",402,"$160,103",6,9/22/2010
618,Paper Towns,Fox,"$32,000,304","3,031","$12,650,140","3,031",7/24/2015
619,Jack Goes Boating,Over.,"$541,992",90,"$28,916",4,9/17/2010
620,The Amazing Catfish,Strand,"$11,342",3,$733,1,6/13/2014
621,Genius Within: The Inner Life of Glenn Gould,Lorb.,"$167,508",9,"$17,034",3,9/10/2010
622,Melvin and Howard,Uni.,"$4,309,490",n/a,n/a,n/a,10/24/1980
623,Last Train Home,Zeit.,"$288,328",14,"$20,418",1,9/3/2010
624,Going the Distance,WB (NL),"$17,804,299","3,030","$6,884,964","3,030",9/3/2010
625,Americanese,IFC,n/a,n/a,n/a,n/a,TBD
626,Charade,Uni.,n/a,n/a,n/a,n/a,12/5/1963
627,Takers,SGem,"$57,744,720","2,206","$20,512,304","2,206",8/27/2010
628,Broadway Danny Rose,Orion,"$10,600,497",613,"$953,794",109,1/27/1984
629,Neshoba: The Price of Freedom,FRun,"$19,245",2,"$4,645",1,8/13/2010
630,The Expendables 3,LGF,"$39,322,544","3,221","$15,879,645","3,221",8/15/2014
631,Scott Pilgrim vs. the World,Uni.,"$31,524,275","2,820","$10,609,795","2,818",8/13/2010
632,Eat Pray Love,Sony,"$80,574,010","3,108","$23,104,523","3,082",8/13/2010
633,Step Up 3-D,BV,"$42,400,223","2,439","$15,812,311","2,435",8/6/2010
634,The Disappearance of Alice Creed,Anch.,"$166,980",12,"$40,258",10,8/6/2010
635,Middle Men,ParV,"$754,301",252,"$325,641",252,8/6/2010
636,Cairo Time,IFC,"$1,603,616",76,"$66,245",5,8/6/2010
637,The Other Guys,Sony,"$119,219,978","3,651","$35,543,162","3,651",8/6/2010
638,Steve McQueen: The Man & Le Mans,FR,"$6,843",2,"$4,079",2,11/13/2015
639,Get Low,SPC,"$9,176,933",570,"$88,182",4,7/30/2010
640,Charlie St. Cloud,Uni.,"$31,162,545","2,725","$12,381,585","2,718",7/30/2010
641,Smash His Camera,Magn.,"$3,644",1,"$2,367",1,7/30/2010
642,Dinner for Schmucks,P/DW,"$73,026,337","3,046","$23,527,839","2,911",7/30/2010
643,Ramona and Beezus,Fox,"$26,167,002","2,719","$7,810,481","2,719",7/23/2010
644,Life During Wartime,IFC,"$281,447",20,"$30,507",1,7/23/2010
645,The Salt of the Earth,SPC,"$1,343,349",80,"$44,900",4,3/27/2015
646,Inception,WB,"$292,576,195","3,792","$62,785,337","3,792",7/16/2010
647,The Sorcerer's Apprentice,BV,"$63,150,991","3,504","$17,619,622","3,504",7/14/2010
648,Steve McQueen: The Man & Le Mans,FR,"$6,843",2,"$4,079",2,11/13/2015
649,Predators,Fox,"$52,000,688","2,669","$24,760,882","2,669",7/9/2010
650,Despicable Me 3,Uni.,n/a,n/a,n/a,n/a,6/30/2017
651,The Kids Are All Right,Focus,"$20,811,365",994,"$491,971",7,7/9/2010
652,The Kids Are All Right,Focus,"$20,811,365",994,"$491,971",7,7/9/2010
653,Love Ranch,E1,"$137,885",11,"$44,220",11,6/30/2010
654,Grown Ups 2,Sony,"$133,668,525","3,491","$41,508,572","3,491",7/12/2013
655,The Last Airbender,Par.,"$131,772,187","3,203","$40,325,019","3,169",7/1/2010
656,The Twilight Saga: Eclipse,Sum.,"$300,531,751","4,468","$64,832,191","4,468",6/30/2010
657,I Am Love,Magn.,"$5,005,465",166,"$121,504",8,6/18/2010
658,South of the Border,Libre,"$198,600",12,"$21,545",1,6/25/2010
659,Restrepo,NGE,"$1,330,894",52,"$35,581",2,6/25/2010
660,Justin and the Knights of Valour,N/A,n/a,n/a,n/a,n/a,TBD
661,Breathless (2010 re-issue),Rialto,"$363,031",12,"$32,424",4,5/28/2010
662,Cyrus,FoxS,"$7,468,936",454,"$181,716",4,6/18/2010
663,Le Amiche (re-issue),FDesk,"$68,167",1,"$10,092",1,6/18/2010
664,The Killer Inside Me,IFC,"$217,277",17,"$11,083",1,6/18/2010
665,Toy Story 3,BV,"$415,004,880","4,028","$110,307,189","4,028",6/18/2010
666,The Karate Kid,Sony,"$176,591,618","3,740","$55,665,805","3,663",6/11/2010
667,Killers (2015),WGUSA,n/a,n/a,n/a,n/a,1/23/2015
668,Joan Rivers: A Piece of Work,IFC,"$2,930,687",115,"$164,351",7,6/11/2010
669,The A-Team,Fox,"$77,222,099","3,544","$25,669,455","3,535",6/11/2010
670,Winter's Bone,RAtt.,"$6,531,503",141,"$84,797",4,6/11/2010
671,Ondine,Magn.,"$550,472",39,"$27,497",5,6/4/2010
672,Marmaduke,Fox,"$33,644,788","3,213","$11,599,661","3,213",6/4/2010
673,Holy Rollers,FInd.,"$303,064",20,"$39,685",3,5/21/2010
674,Splice,WB,"$17,010,170","2,450","$7,385,277","2,450",6/4/2010
675,Double Take (2010),Kino,"$20,218",1,"$4,650",1,6/2/2010
676,Get Him to the Greek,Uni.,"$60,974,475","2,702","$17,570,955","2,697",6/4/2010
677,MacGruber,Uni.,"$8,525,600","2,551","$4,043,495","2,551",5/21/2010
678,Prince of Persia: The Sands of Time,BV,"$90,759,676","3,646","$30,095,259","3,646",5/28/2010
679,Shrek Forever After,P/DW,"$238,736,787","4,386","$70,838,207","4,359",5/21/2010
680,Agora,NM,"$619,423",17,"$33,262",2,5/28/2010
681,Sex and the City 2,WB (NL),"$95,347,692","3,445","$31,001,870","3,445",5/27/2010
682,Steve McQueen: The Man & Le Mans,FR,"$6,843",2,"$4,079",2,11/13/2015
683,Just Wright,FoxS,"$21,540,363","1,831","$8,284,989","1,831",5/14/2010
684,Looking for Eric,IFC,"$55,804",11,"$6,743",2,5/14/2010
685,Daddy Longlegs,IFC,"$21,766",2,"$8,323",1,5/14/2010
686,Letters to Juliet,Sum.,"$53,032,453","2,975","$13,540,486","2,968",5/14/2010
687,The Last of Robin Hood,Gold.,"$288,545",78,"$25,821",2,8/29/2014
688,Casino Jack and the United States of Money,Magn.,"$176,865",21,"$28,234",9,5/7/2010
689,Steve McQueen: The Man & Le Mans,FR,"$6,843",2,"$4,079",2,11/13/2015
690,Battle of the Sexes,FoxS,n/a,n/a,n/a,n/a,2017
691,Mother and Child,SPC,"$1,110,509",119,"$43,040",4,5/7/2010
692,Babies,Focus,"$7,320,323",543,"$2,160,460",534,5/7/2010
693,Iron Man 2,Par.,"$312,433,331","4,390","$128,122,480","4,380",5/7/2010
694,Harry Brown,Gold.,"$1,818,681",67,"$173,353",19,4/30/2010
695,Please Give,SPC,"$4,033,574",272,"$118,123",5,4/30/2010
696,The City of Your Final Destination,Scre.,"$493,296",26,"$24,401",1,4/16/2010
697,A Nightmare on Elm Street (2010),WB (NL),"$63,075,011","3,332","$32,902,299","3,332",4/30/2010
698,Exit Through the Gift Shop,PDA,"$3,291,250",46,"$170,756",8,4/16/2010
699,Death at a Funeral (2010),SGem,"$42,739,347","2,459","$16,217,540","2,459",4/16/2010
700,The Losers,WB,"$23,591,432","2,936","$9,406,348","2,936",4/23/2010
701,The Back-Up Plan,CBS,"$37,490,007","3,280","$12,201,710","3,280",4/23/2010
702,Keeping Up with the Joneses,Fox,n/a,n/a,n/a,n/a,10/21/2016
703,The Perfect Game,IW,"$1,037,071",417,"$511,698",417,4/16/2010
704,Kick-Ass 2,Uni.,"$28,795,985","2,945","$13,332,955","2,940",8/16/2013
705,Ghost Town,P/DW,"$13,367,624","1,512","$5,012,315","1,505",9/19/2008
706,SpongeBob SquarePants 3,Par.,n/a,n/a,n/a,n/a,2/8/2019
707,Date Night,Fox,"$98,711,404","3,380","$25,207,599","3,374",4/9/2010
708,Leaves of Grass,First,"$70,066",6,"$20,987",3,9/17/2010
709,The Greatest Showman on Earth,Fox,n/a,n/a,n/a,n/a,12/25/2017
710,Clash of the Titans (2010),WB,"$163,214,888","3,802","$61,235,105","3,777",4/2/2010
711,The Last Song,BV,"$62,950,384","2,794","$16,007,426","2,673",3/31/2010
712,Saigon Eclipse,Indic.,n/a,n/a,n/a,n/a,TBD
713,The Girl with the Dragon Tattoo (2011),Sony,"$102,515,793","2,950","$12,768,604","2,914",12/21/2011
714,City Island,Anch.,"$6,671,036",269,"$32,001",2,3/19/2010
715,Chloe,SPC,"$3,075,255",350,"$900,688",350,3/26/2010
716,How to Train Your Dragon 3,Fox,n/a,n/a,n/a,n/a,5/18/2018
717,Hot Tub Time Machine 2,Par.,"$12,314,651","2,901","$5,963,324","2,880",2/20/2015
718,Diary of a Wimpy Kid: Dog Days,Fox,"$49,008,662","3,401","$14,623,599","3,391",8/3/2012
719,The Bounty Hunter,Sony,"$67,061,228","3,118","$20,686,423","3,074",3/19/2010
720,The Runaways,App.,"$3,573,673",244,"$805,115",244,3/19/2010
721,Greenberg,Focus,"$4,234,170",186,"$118,152",3,3/19/2010
722,Our Family Wedding,FoxS,"$20,255,281","1,609","$7,629,862","1,605",3/12/2010
723,Remember Me,Sum.,"$19,068,240","2,215","$8,089,139","2,212",3/12/2010
724,She's Out of My League,Par.,"$32,010,860","2,958","$9,775,278","2,956",3/12/2010
725,The Exploding Girl,Osci.,"$25,572",3,"$5,910",1,3/12/2010
726,Green Zone,Uni.,"$35,053,660","3,004","$14,309,295","3,003",3/12/2010
727,The Secret of Kells,GK,"$676,775",37,"$39,826",1,3/5/2010
728,Brooklyn's Finest,Over.,"$27,163,593","1,939","$13,350,299","1,936",3/5/2010
729,October Country,ICir,"$26,185",4,"$7,026",1,2/12/2010
730,Art of the Steal,RTWC,"$64,065",60,"$40,003",60,3/14/2014
731,Prodigal Sons,FRun,"$73,544",11,"$6,102",1,2/26/2010
732,The Crazies,Over.,"$39,123,589","2,479","$16,067,552","2,476",2/26/2010
733,Alice in Wonderland (2010),BV,"$334,191,110","3,739","$116,101,023","3,728",3/5/2010
734,Toe to Toe,Strand,"$21,648",2,"$5,205",1,2/26/2010
735,Cop Out,WB,"$44,875,481","3,150","$18,211,126","3,150",2/26/2010
736,The Ghost Writer,Sum.,"$15,541,549",819,"$183,009",4,2/19/2010
737,Blood Done Sign My Name,Pala.,"$109,383",95,"$82,739",95,2/19/2010
738,Shutter Island,Par.,"$128,012,934","3,356","$41,062,440","2,991",2/19/2010
739,Valentine's Day,WB (NL),"$110,485,654","3,665","$56,260,707","3,665",2/12/2010
740,Percy Jackson: Sea of Monsters,Fox,"$68,559,554","3,080","$14,401,054","3,031",8/7/2013
741,October Country,ICir,"$26,185",4,"$7,026",1,2/12/2010
742,The Wolfman,Uni.,"$61,979,680","3,223","$31,479,235","3,222",2/12/2010
743,Red Riding Trilogy,IFC,"$151,644",9,"$14,526",1,2/5/2010
744,Frozen,BV,"$400,738,009","3,742","$243,390",1,11/22/2013
745,From Paris with Love,LGF,"$24,077,427","2,722","$8,158,860","2,722",2/5/2010
746,Dear John,SGem,"$80,014,842","3,062","$30,468,614","2,969",2/5/2010
747,Ajami,Kino,"$622,403",23,"$35,792",3,2/3/2010
748,Saint John of Las Vegas,IVP,"$102,645",14,"$21,666",2,1/29/2010
749,Legion (2010),SGem,"$40,168,080","2,476","$17,501,625","2,476",1/22/2010
750,Tooth Fairy,Fox,"$60,022,256","3,345","$14,010,409","3,344",1/22/2010
751,When in Rome,BV,"$32,680,633","2,456","$12,350,041","2,456",1/29/2010
752,44 Inch Chest,Imag.,"$39,033",5,"$4,185",1,1/15/2010
753,Edge of Darkness,WB,"$43,313,890","3,066","$17,214,384","3,066",1/29/2010
754,Crazy on the Outside,Free,"$88,335",75,"$64,438",75,1/8/2010
755,Gabo: The Creation of Gabriel Garcia Marquez,Icar.,"$18,467",4,"$1,432",1,10/1/2015
756,Extraordinary Measures,CBS,"$12,068,313","2,549","$6,012,594","2,549",1/22/2010
757,Wonderful World,Magn.,"$9,309",4,"$4,582",4,1/8/2010
758,The Book of Eli,WB,"$94,835,059","3,111","$32,789,494","3,111",1/15/2010
759,The Spy Next Door,LGF,"$24,307,086","2,924","$9,726,056","2,924",1/15/2010
760,Fish Tank,IFC,"$374,675",15,"$25,854",2,1/15/2010
761,Leap Year (2011),Strand,"$12,979",2,"$2,727",1,6/24/2011
762,The Imaginarium of Doctor Parnassus,SPC,"$7,689,607",607,"$415,233",48,12/25/2009
763,The Young Victoria,App.,"$11,001,272",476,"$260,591",44,12/18/2009
764,Sherlock Holmes: A Game of Shadows,WB,"$186,848,418","3,703","$39,637,079","3,703",12/16/2011
765,Did You Hear About the Morgans?,Sony,"$29,580,087","2,718","$6,616,571","2,718",12/18/2009
766,Avatar,Fox,"$760,507,625","3,461","$77,025,481","3,452",multiple
767,It's Complicated,Uni.,"$112,735,375","2,955","$22,100,820","2,887",12/25/2009
768,Puss in Boots 2: Nine Lives & 40 Thieves,Fox,n/a,n/a,n/a,n/a,TBD
769,Crazy Heart,FoxS,"$39,464,306","1,361","$82,664",4,12/16/2009
770,A Single Man,Wein.,"$9,176,000",354,"$217,332",9,12/11/2009
771,The Princess and the Frog,BV,"$104,400,899","3,475","$786,190",2,11/25/2009
772,The Lovely Bones,P/DW,"$44,114,232","2,638","$116,616",3,12/11/2009
773,Invictus,WB,"$37,491,364","2,170","$8,611,147","2,125",12/11/2009
774,Up in the Air,Par.,"$83,823,381","2,218","$1,181,450",15,12/4/2009
775,Everybody's Fine,Mira.,"$9,208,876","2,141","$3,852,068","2,133",12/4/2009
776,Invictus,WB,"$37,491,364","2,170","$8,611,147","2,125",12/11/2009
777,Armored,SGem,"$15,988,876","1,919","$6,511,128","1,915",12/4/2009
778,The Last Station,SPC,"$6,617,867",354,"$73,723",3,1/15/2010
779,The Brothers Grimsby,Sony,"$6,874,837","2,235","$3,258,327","2,235",3/11/2016
780,The Private Lives of Pippa Lee,Scre.,"$337,356",26,"$89,950",12,11/27/2009
781,Old Dogs,BV,"$49,492,060","3,425","$16,894,511","3,425",11/25/2009
782,Ninja Assassin,WB,"$38,122,883","2,503","$13,316,158","2,503",11/25/2009
783,Me and Orson Welles,Free,"$1,190,003",134,"$63,638",4,11/25/2009
784,London Road,N/A,n/a,n/a,n/a,n/a,TBD
785,Me and Orson Welles,Free,"$1,190,003",134,"$63,638",4,11/25/2009
786,London Road,N/A,n/a,n/a,n/a,n/a,TBD
787,Planet 51,Sony,"$42,194,060","3,035","$12,286,129","3,035",11/20/2009
788,The Twilight Saga: New Moon,Sum.,"$296,623,634","4,124","$142,839,137","4,024",11/20/2009
789,The Blind Side,WB,"$255,959,475","3,407","$34,119,372","3,110",11/20/2009
790,Bad Lieutenant: Port of Call New Orleans,First,"$1,702,112",96,"$245,398",27,11/20/2009
791,Broken Embraces,SPC,"$5,014,305",202,"$107,111",2,11/20/2009
792,Promised Land (2012),Focus,"$7,597,898","1,676","$173,915",25,12/28/2012
793,That Evening Sun,Free,"$281,350",10,"$7,330",1,11/6/2009
794,Dare,Imag.,"$18,088",2,"$13,200",2,11/13/2009
795,The Messenger (2015),KL,"$67,816",9,n/a,n/a,12/4/2015
796,Fantastic Mr. Fox,Fox,"$21,002,919","2,304","$265,900",4,11/13/2009
797,The Boxtrolls,Focus,"$50,837,305","3,464","$17,275,239","3,464",9/26/2014
798,The Men Who Stare at Goats,Over.,"$32,428,195","2,453","$12,706,654","2,443",11/6/2009
799,The Fourth Kind,Uni.,"$25,486,040","2,530","$12,231,160","2,527",11/6/2009
800,Gentlemen Broncos,FoxS,"$113,682",18,"$11,502",2,10/30/2009
801,Michael Jackson's This Is It,Sony,"$72,091,016","3,481","$23,234,394","3,481",10/28/2009
802,The Boondock Saints II: All Saints Day,App.,"$10,273,188",524,"$546,687",68,10/30/2009
803,Amelia,FoxS,"$14,245,415","1,070","$3,904,047",820,10/23/2009
804,Motherhood,Free,"$93,388",48,"$50,081",48,10/23/2009
805,Cirque du Freak: The Vampire's Assistant,Uni.,"$13,869,515","2,754","$6,293,205","2,754",10/23/2009
806,Antichrist,IFC,"$404,122",19,"$71,397",6,10/23/2009
807,Truckers (working title),P/DW,n/a,n/a,n/a,n/a,TBD
808,Black Dynamite,App.,"$242,578",70,"$131,862",70,10/16/2009
809,Law Abiding Citizen,Over.,"$73,357,727","2,890","$21,039,502","2,890",10/16/2009
810,Good Hair,RAtt.,"$4,157,223",466,"$1,039,220",186,10/9/2009
811,Where the Wild Things Are,WB,"$77,233,467","3,735","$32,695,407","3,735",10/16/2009
812,Couples Retreat,Uni.,"$109,204,945","3,074","$34,286,740","3,000",10/9/2009
813,Paranormal Activity: The Ghost Dimension,Par.,"$18,300,124","1,656","$8,070,493","1,656",10/23/2015
814,Bronson,Magn.,"$104,979",8,"$10,940",1,10/9/2009
815,The Damned United,SPC,"$449,865",45,"$32,065",6,10/9/2009
816,An Education,SPC,"$12,574,914",763,"$159,017",4,10/9/2009
817,The Invention of Lying,WB,"$18,451,251","1,743","$7,027,472","1,707",10/2/2009
818,Zombieland,Sony,"$75,590,286","3,171","$24,733,155","3,036",10/2/2009
819,Whip It,FoxS,"$13,043,363","1,738","$4,650,812","1,721",10/2/2009
820,More Than a Game,LGF,"$950,675",111,"$182,943",14,10/2/2009
821,A Serious Man,Focus,"$9,228,768",262,"$251,337",6,10/2/2009
822,Capitalism: A Love Story,Over.,"$14,363,397",995,"$231,964",4,9/23/2009
823,Brief Interviews with Hideous Men,IFC,"$33,745",2,"$18,510",1,9/25/2009
824,Addicted to Fame,Abr.,n/a,n/a,n/a,n/a,11/30/2012
825,Blind Date (2009),Vari.,"$8,449",1,"$2,787",1,9/25/2009
826,The Boys Are Back,Mira.,"$809,752",108,"$49,342",6,9/25/2009
827,Coco Before Chanel,SPC,"$6,113,834",307,"$406,768",43,9/25/2009
828,Blind Date (2009),Vari.,"$8,449",1,"$2,787",1,9/25/2009
